Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e9_with_fsym.net
s154	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~P!5,p6~P!6,p7~U!1,p8~U!7,p9~U!8).F(s!6).E(s!8).F(s!5).F(s!4).F(s!3).E(s!7).F(s!2)
s155	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~P!5,p7~U,p8~U!6,p9~U!1).F(s!2).E(s!6).F(s!5).F(s!4).F(s!3)
s156	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~P!4,p7~P!5,p8~U!1,p9~U!6).F(s!5).E(s!6).F(s!4).F(s!3).F(s!2)
s157	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~P!5,p7~P!6,p8~U!1,p9~U!7).F(s!6).E(s!7).F(s!5).F(s!4).F(s!3).F(s!2)
s158	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~P!2,p6~P!3,p7~P!4,p8~U!5,p9~U!1).F(s!2).E(s!5).F(s!4).F(s!3)
s159	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~P!4,p7~P!5,p8~U,p9~U!1).F(s!2).F(s!5).F(s!4).F(s!3)
s160	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~P!5,p7~P!6,p8~U,p9~U!1).F(s!6).F(s!5).F(s!4).F(s!3).F(s!2)
s161	: S(p1~P,p2~P,p3~P,p4~P,p5~P!1,p6~P!2,p7~P!3,p8~P!4,p9~U).F(s!4).F(s!3).F(s!2).F(s!1)
s162	: S(p1~P,p2~P,p3~P,p4~P!1,p5~P!2,p6~P!3,p7~P!4,p8~P!5,p9~U).F(s!5).F(s!4).F(s!3).F(s!2).F(s!1)
s163	: S(p1~P,p2~P,p3~P!1,p4~P!2,p5~P!3,p6~P!4,p7~P!5,p8~P!6,p9~U).F(s!6).F(s!5).F(s!4).F(s!3).F(s!2).F(s!1)
s164	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~P!4,p7~P!5,p8~P!6,p9~U!1).F(s!3).F(s!6).F(s!5).F(s!4).F(s!2)
